album_id,date,has_tags,id,owner_id,post_id,sizes,square_crop,text
-6,1295038588,False,210875635,13828245,297,"[{'height': 0, 'url': 'https://sun9-63.userapi.com/c9948/u13828245/-6/s_170c9a79.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-55.userapi.com/c9948/u13828245/-6/m_ff60711b.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-32.userapi.com/c9948/u13828245/-6/x_3eeaf4b8.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-57.userapi.com/c9948/u13828245/-6/y_7067d003.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-41.userapi.com/c9948/u13828245/-6/z_655968d2.jpg', 'type': 'z', 'width': 0}, {'height': 0, 'url': 'https://sun9-22.userapi.com/c9948/u13828245/-6/w_ef0d2149.jpg', 'type': 'w', 'width': 0}]",,
-6,1287319194,False,186335123,13828245,,"[{'height': 0, 'url': 'https://sun9-56.userapi.com/c9191/u13828245/-6/s_091d80a9.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-7.userapi.com/c9191/u13828245/-6/m_885bb316.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-78.userapi.com/c9191/u13828245/-6/x_502d3052.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-63.userapi.com/c9191/u13828245/-6/y_ff5ed4f4.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-24.userapi.com/c9191/u13828245/-6/z_7d4ef778.jpg', 'type': 'z', 'width': 0}]",,
-6,1293968924,False,205938371,13828245,272,"[{'height': 0, 'url': 'https://sun9-43.userapi.com/c11300/u13828245/-6/s_050d98ea.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-77.userapi.com/c11300/u13828245/-6/m_9f7017e9.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-61.userapi.com/c11300/u13828245/-6/x_3759874f.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-45.userapi.com/c11300/u13828245/-6/y_b9560af5.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-3.userapi.com/c11300/u13828245/-6/z_debf1b54.jpg', 'type': 'z', 'width': 0}, {'height': 0, 'url': 'https://sun9-87.userapi.com/c11300/u13828245/-6/w_36c1a682.jpg', 'type': 'w', 'width': 0}]",,
-6,1292277326,False,198453150,13828245,265,"[{'height': 0, 'url': 'https://sun9-64.userapi.com/c11505/u13828245/-6/s_d842f120.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-18.userapi.com/c11505/u13828245/-6/m_ff848695.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-61.userapi.com/c11505/u13828245/-6/x_77a676bf.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-55.userapi.com/c11505/u13828245/-6/y_a11c8b4c.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-36.userapi.com/c11505/u13828245/-6/z_956252b3.jpg', 'type': 'z', 'width': 0}]",,
-6,1295378197,False,212271537,13828245,319,"[{'height': 0, 'url': 'https://sun9-85.userapi.com/c9948/u13828245/-6/s_ddca7d34.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-18.userapi.com/c9948/u13828245/-6/m_a2baa4ee.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-77.userapi.com/c9948/u13828245/-6/x_ab97f166.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-17.userapi.com/c9948/u13828245/-6/y_d7b4ddbe.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-84.userapi.com/c9948/u13828245/-6/z_95afc219.jpg', 'type': 'z', 'width': 0}, {'height': 0, 'url': 'https://sun9-26.userapi.com/c9948/u13828245/-6/w_2342ba53.jpg', 'type': 'w', 'width': 0}]",,
-6,1298057713,False,224321527,13828245,333,"[{'height': 0, 'url': 'https://sun9-45.userapi.com/c10228/u13828245/113237282/s_2c9ad686.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-14.userapi.com/c10228/u13828245/113237282/m_2351a5e0.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-34.userapi.com/c10228/u13828245/113237282/x_244932d4.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-79.userapi.com/c10228/u13828245/113237282/y_522ef955.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-2.userapi.com/c10228/u13828245/113237282/z_c6b0b431.jpg', 'type': 'z', 'width': 0}]",,
-6,1298057831,False,224322378,13828245,334,"[{'height': 0, 'url': 'https://sun9-70.userapi.com/c10228/u13828245/113237282/s_17d87b55.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-31.userapi.com/c10228/u13828245/113237282/m_589518ec.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-33.userapi.com/c10228/u13828245/113237282/x_e6f05a20.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-78.userapi.com/c10228/u13828245/113237282/y_30a127de.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-28.userapi.com/c10228/u13828245/113237282/z_584acd42.jpg', 'type': 'z', 'width': 0}]",,
-6,1308931841,False,264512390,13828245,378,"[{'height': 0, 'url': 'https://sun9-5.userapi.com/c10294/u13828245/-6/s_7abd84a3.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-70.userapi.com/c10294/u13828245/-6/m_d22853d5.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-69.userapi.com/c10294/u13828245/-6/x_0d64a8df.jpg', 'type': 'x', 'width': 0}, {'height': 0, 'url': 'https://sun9-77.userapi.com/c10294/u13828245/-6/y_6432ef6e.jpg', 'type': 'y', 'width': 0}, {'height': 0, 'url': 'https://sun9-52.userapi.com/c10294/u13828245/-6/z_4085bc8d.jpg', 'type': 'z', 'width': 0}, {'height': 0, 'url': 'https://sun9-18.userapi.com/c10294/u13828245/-6/w_604fa959.jpg', 'type': 'w', 'width': 0}]",,
-6,1321983204,False,272423507,13828245,449,"[{'height': 0, 'url': 'https://sun9-48.userapi.com/c9869/u13828245/-6/s_cf1b08ff.jpg', 'type': 's', 'width': 0}, {'height': 0, 'url': 'https://sun9-4.userapi.com/c9869/u13828245/-6/m_a13acfd5.jpg', 'type': 'm', 'width': 0}, {'height': 0, 'url': 'https://sun9-4.userapi.com/c9869/u13828245/-6/x_31c9847e.jpg', 'type': 'x', 'width': 0}]",,
-6,1331488391,False,279953045,13828245,543,"[{'height': 50, 'url': 'https://sun9-14.userapi.com/c305509/u13828245/-6/s_6e2af6ba.jpg', 'type': 's', 'width': 75}, {'height': 87, 'url': 'https://sun9-82.userapi.com/c305509/u13828245/-6/m_be9fdb7d.jpg', 'type': 'm', 'width': 130}, {'height': 403, 'url': 'https://sun9-65.userapi.com/c305509/u13828245/-6/x_246d14d8.jpg', 'type': 'x', 'width': 604}, {'height': 538, 'url': 'https://sun9-6.userapi.com/c305509/u13828245/-6/y_fe90d28c.jpg', 'type': 'y', 'width': 807}, {'height': 854, 'url': 'https://sun9-11.userapi.com/c305509/u13828245/-6/z_df4333b8.jpg', 'type': 'z', 'width': 1280}, {'height': 1707, 'url': 'https://sun9-85.userapi.com/c305509/u13828245/-6/w_83c7be67.jpg', 'type': 'w', 'width': 2560}]",,
